otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
735703.993464699,114.158666666667,44.5391666666667,0.31,1.89,,C,142350,0.18,2.3,3.1
735704.013134375,114.178,44.5241666666667,2.68,1.56,,C,150018,0.14,1.8,4.5
735704.047954514,114.102333333333,44.493,0.03,2.01,,C,150108,0.15,2.1,2.9
735704.050689005,114.156,44.5333333333333,0.08,2,,C,150112,0.17,1.9,2.7
735704.058731713,114.0895,44.521,0.02,1.74,,C,150124,0.16,1.8,2.4
735704.074371759,114.147333333333,44.5235,1.14,1.84,,D,150146,0.18,2.6,3.4
735704.096793982,114.130833333333,44.5471666666667,0.08,2.14,,C,150219,0.15,2.1,2.9
735704.102677893,114.105666666667,44.5171666666667,0.04,2.05,,C,150227,0.15,1.7,2.3
735704.108535995,114.111833333333,44.5141666666667,0.16,2.12,,C,150236,0.17,2.2,2.8
735704.133806597,114.119833333333,44.5056666666667,0.31,0,,C,150312,0.16,1.9,2.5
735704.145621875,114.112666666667,44.4966666666667,0.71,2.43,,C,150329,0.17,1.8,2.4
735704.148642824,114.105,44.5006666666667,0.28,2.12,,C,150333,0.19,2,2.7
735704.152003125,114.097666666667,44.5103333333333,0.16,1.66,,D,150338,0.19,3,3.6
735704.159790741,114.149666666667,44.5321666666667,0.02,0,,C,150349,0.17,1.9,2.6
735704.170040162,114.103833333333,44.5168333333333,1.05,2.17,,C,150404,0.15,1.9,2.6
735704.175083565,114.095833333333,44.4975,0.02,1.82,,C,150411,0.12,2,2.6
735704.187292824,114.168833333333,44.5393333333333,0.02,1.8,,C,150429,0.19,2.1,2.9
735704.21408287,114.149666666667,44.575,4.32,2.05,,C,150507,0.15,1.2,3.4
735704.227730208,114.102833333333,44.5151666666667,0.31,2.32,,C,150527,0.16,2.1,2.8
735704.259757407,114.083833333333,44.4771666666667,0.02,1.91,,C,150613,0.18,2.2,2.8
735704.263815741,114.140333333333,44.542,0.08,2.64,,C,150619,0.14,1.8,2.5
735704.273423148,114.1525,44.5173333333333,2.33,2.13,,C,150633,0.15,1,2.9
735704.335231713,114.1825,44.5256666666667,0.04,2.14,,C,150802,0.12,1.7,2.6
735704.437456366,114.143833333333,44.5141666666667,1.8,2.05,,C,151029,0.14,1,3.1
735704.528376505,114.121666666667,44.4978333333333,1.34,2.08,,C,151240,0.14,1.8,2.5
735704.601747107,114.075333333333,44.4968333333333,0.08,2.08,,C,151426,0.16,1.9,2.5
735704.644640625,114.150666666667,44.5341666666667,2.4,2.09,,C,151528,0.17,1.1,3.3
735704.681888194,114.1325,44.5448333333333,2.75,1.99,,C,151621,0.13,1.3,3.4
735704.719679282,114.209,44.541,1.98,1.77,,C,151716,0.1,1.2,3.4
735704.835560532,114.0975,44.501,0.16,1.67,,C,152002,0.16,2.2,2.9
735704.888318171,114.136833333333,44.5056666666667,0.31,2.26,,C,152118,0.14,2,2.9
735704.985602315,114.205666666667,44.5543333333333,0.04,2.09,,C,152339,0.2,2.3,3.2
735705.022928009,114.134166666667,44.5325,0.04,1.78,,C,160032,0.1,1.5,2.1
735705.114834954,114.144,44.5626666666667,0.31,1.4,,C,160245,0.13,2.1,2.8
735705.242801157,114.117166666667,44.501,0.02,2.44,,C,160549,0.16,1.7,2.4
735705.261144444,114.1205,44.5013333333333,0.02,2.06,,C,160615,0.2,2.4,3.5
735705.375817708,114.100166666667,44.5358333333333,0.16,1.88,,C,160901,0.16,1.9,2.7
735705.404321991,114.0725,44.5181666666667,0.31,1.9,,C,160942,0.2,2.2,2.9
735705.532746181,114.136166666667,44.512,0.08,1.96,,C,161246,0.19,2.1,2.8
735705.579088194,114.0805,44.4988333333333,3.31,1.69,,C,161353,0.17,1.3,3.8
735705.637678819,114.100833333333,44.494,0.02,1.78,,C,161518,0.19,2.4,3.4
