otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr
736942.407181597,111.484833333333,42.6468333333333,7.61,0,,C,40946,0.05,1.6,4.5
736942.408609491,111.378833333333,42.6108333333333,4.97,1.26,,D,40948,0.14,1.9,16.8
736942.415562268,111.4655,42.5995,9.37,1.68,,D,40957,0.11,3.2,11.3
736942.417118287,111.444,42.6195,5.01,1.24,,D,41000,0.12,2,14.4
736942.424311806,111.4565,42.6225,5.18,1.91,,D,41010,0.09,1.8,13.1
736942.437303241,111.4565,42.6061666666667,4.96,1.61,,D,41029,0.12,1.1,14.6
736942.441494445,111.503166666667,42.6205,5.08,1.44,,D,41035,0.05,3.1,12.4
736942.442098148,111.487833333333,42.6348333333333,5.03,0.92,,D,41036,0.04,2.5,12.4
736942.447843287,111.439,42.6953333333333,5.09,1.45,,D,41044,0.17,1.9,15.2
736942.448748495,111.395166666667,42.7528333333333,2.84,1.55,,D,41045,0.07,9.1,13
736942.44975544,111.500833333333,42.6211666666667,5.25,1.79,,D,41047,0.01,2,5.9
736942.45309919,111.428666666667,42.5323333333333,13.2,0,,C,41052,0.16,1.7,2.9
736942.45723669,111.454333333333,42.6003333333333,12.19,1.57,,C,41058,0.11,1.8,0.9
736942.459572106,111.481,42.6066666666667,13.52,1.81,,C,41101,0.12,1.8,4.3
736942.463226273,111.471333333333,42.601,5.02,1.44,,D,41106,0.06,2.7,13
736942.464920139,111.486,42.6408333333333,11.86,0,,C,41109,0.04,1.1,2.6
736942.469368287,111.384833333333,42.7648333333333,3.42,2.11,,D,41114,0.07,6.4,12.6
736942.472267245,111.453666666667,42.587,7.92,1.61,,C,41119,0.01,1.8,3.4
736942.476136806,111.466833333333,42.6003333333333,12.3,1.59,,C,41125,0.22,1.1,1.5
736942.477026042,111.442666666667,42.5678333333333,4.99,1.43,,D,41126,0.15,3.2,15.9
736942.482220139,111.457333333333,42.5756666666667,2.46,1.55,,D,41133,0.03,1.6,12.7
736942.483990278,111.475166666667,42.664,4.97,1.54,,D,41136,0.18,1.4,15.7
736942.486993866,111.458,42.6346666666667,11.53,1.56,,C,41140,0.03,1.2,0.8
736942.489678125,111.489333333333,42.6196666666667,5.07,1.61,,D,41144,0.05,1.5,11.6
736942.495910995,111.486,42.623,5.02,1.39,,D,41153,0.01,2.2,12.1
736942.496970486,111.482166666667,42.6265,10.54,1.64,,D,41155,0.05,3.2,9.6
736942.501892245,111.4215,42.5893333333333,5.79,1.4,,D,41202,0.09,1.7,12.1
736942.505019792,111.487833333333,42.5655,5.05,1.49,,D,41206,0.12,1.4,14.6
736942.514806829,111.456333333333,42.6395,13.49,2.25,,C,41221,0.1,1.2,0.8
736942.520424769,111.493,42.6211666666667,11.46,2.19,,C,41229,0.07,1.7,2.3
736942.531381597,111.272,42.8003333333333,35.85,0.96,,D,41244,0.01,12.4,1.9
736942.534196644,111.4015,42.6306666666667,21.84,1.78,,D,41248,0.01,2.8,3.9
736942.541641782,111.097166666667,43.0358333333333,26.11,1.15,,D,41259,0.14,11.3,12.8
736942.546304514,111.459166666667,42.5968333333333,5.03,1.3,,D,41306,0.01,2.7,12
736942.548748495,110.963833333333,43.073,5.02,1.57,,D,41309,0.24,2.5,23.5
736942.549446412,111.493166666667,42.5206666666667,4.99,1.67,,D,41310,0.14,1.1,15.9
736942.558571412,111.1335,42.9423333333333,4.97,1.02,,D,41323,0.11,1.6,15.2
736942.560338657,111.099,42.9218333333333,4.99,1.69,,D,41326,0.68,6.1,47.4
736942.563976736,111.479166666667,42.6376666666667,4.98,1.41,,D,41331,0.12,1.6,13.6
736942.576311227,111.040833333333,42.919,4.94,1.1,,D,41349,0.78,7.8,56.1
736942.57808912,110.869166666667,43.0903333333333,4.61,1.97,,D,41352,0.19,2.1,19.8
736942.580020139,111.5025,42.6366666666667,6.8,1.34,,D,41354,0.09,4.7,12.9
736942.583066319,111.462166666667,42.6035,6.99,0,,C,41359,0.08,1.9,2.7
736942.589125347,111.469833333333,42.6051666666667,5,1.29,,D,41408,0.25,2.3,22.9
736942.590767014,111.449166666667,42.5663333333333,2.24,1.3,,D,41410,0.04,2.2,12.9
736942.594619907,110.741166666667,42.9265,5.22,1.24,,D,41416,0.2,3.4,21
736942.595790509,111.455166666667,42.555,2.6,1.65,,D,41417,0.13,1.2,16.3
