otime lon lat depth mag quality hypo_evt_no rmse Herr Verr depth_FSL
735970.023632986 -114.1345 44.4223333333333 15.95 0 C 200199 0.27 2 3.6 14.587
735970.082403009 -114.01 44.3726666666667 5 0 D 200200 0.07 2.9 13.6 4.722
735970.082400579 -114.033833333333 44.4305 0.03 0 D 200201 0.07 3.4 5.5 0.182
735970.082985648 -112.052166666667 44.2481666666667 4.99 0 D 200202 2.43 27.2 61.1 4.685
735970.142441782 -112.588833333333 44.4078333333333 5 0 D 200203 1.73 12.9 99 4.712
735970.14234294 -114.1855 44.4138333333333 11.21 0 C 200204 0.07 0.9 2.3 10.311
735970.24830463 -114.037166666667 44.4358333333333 0.04 0 D 200205 0.42 2.5 3.8 0.26
735970.249223032 -113.9845 44.4218333333333 2.5 0 D 200206 0.36 2.3 3.2 2.472
735970.274144792 -114.075833333333 44.4535 0.09 0 C 200207 0.1 2.3 4.4 0.333
735970.279359722 -114.0225 44.4708333333333 0.02 0 D 200208 0.28 5.9 2.3 0.236
735970.279356597 -114.1825 44.4345 9.94 0 C 200209 0.08 1.4 2.6 9.147
735970.301089352 -114.0005 44.4323333333333 5 0 D 200210 0.15 2.1 17.9 4.722
735970.357020023 -114.019166666667 44.4366666666667 0.03 0 C 200211 0.06 2.4 2.9 0.278
735970.452235301 -111.716 45.1378333333333 3.13 0 D 200212 0.26 22.2 5.8 2.972
735970.47585162 -114.051333333333 44.437 0.03 0 D 200213 0.37 2.8 4.4 0.245
735970.50994213 -114.004833333333 44.4215 1.4 0 D 200214 0.02 3.7 10.9 1.482
735970.509948843 -114.107166666667 44.4313333333333 16.37 0 D 200215 0.06 2.2 13.5 14.934
735970.533520023 -114.228333333333 44.4358333333333 17.85 0 C 200216 0.19 1.6 3.7 16.266
735970.645597106 -114.0175 44.426 5 0 D 200217 0.1 1.7 14.9 4.722
735970.645592824 -114.237333333333 44.459 17.42 0 D 200218 0.26 2 24.7 15.929
735970.693671875 -114.000166666667 44.442 0.06 0 D 200219 0.31 1.6 3 0.272
735970.727815972 -113.7135 44.4878333333333 4.99 0 D 200220 0.2 9.8 18.2 4.713
735970.739282755 -114.106666666667 44.4696666666667 2.5 0 D 200221 0.59 5.4 7.4 2.485
735970.73930162 -114.112 44.4596666666667 13.15 0 D 200222 0.13 4.3 4.7 12.002
735970.753619444 -113.934166666667 44.5141666666667 5.55 0 D 200223 0.12 7.9 13.9 5.228
735970.908064352 -114.064333333333 44.5828333333333 0.02 0 D 200224 0.55 3.9 4.6 0.236
735970.908062616 -114.2 44.6351666666667 5.36 0 D 200225 0.04 7 11 4.981
735970.917217245 -113.991 44.4245 2.58 0 C 200226 0.28 1.7 3 2.546
735970.985123727 -113.983666666667 44.4268333333333 0.03 0 C 200227 0.11 1.2 1.4 0.249
735971.018021759 -113.270833333333 44.3751666666667 7.22 0 D 200228 3.09 9.6 29 6.695
735971.082090972 -114.001666666667 44.4251666666667 0.08 0 D 200229 0.35 1.7 1.8 0.294
735971.096458796 -114.081 44.4123333333333 4.4 0 D 200230 0.07 7.1 9.9 4.195
735971.113337731 -114.0015 44.4346666666667 0.57 0 C 200231 0.02 1.8 1.9 0.731
735971.189087037 -114.074166666667 44.4765 4.93 0 D 200232 0.1 2.3 14.3 4.626
735971.231539931 -114.026 44.5226666666667 6.03 0 D 200233 0.27 13.2 22.5 5.659
735971.247366551 -114.059333333333 44.4803333333333 2.5 0 D 200234 0.61 7.6 9 2.468
735971.26291412 -114.122 44.4053333333333 4.19 0 D 200235 0.04 7.5 10.1 3.961
735971.293452431 -114.024 44.3833333333333 0.8 0 D 200236 0.2 7.2 19.4 0.939
735971.330039236 -112.794 44.3543333333333 3.09 0 D 200237 2.83 28.3 60.4 2.981
735971.363941204 -114.033833333333 44.4425 0.04 0 D 200238 0.34 2.2 3.8 0.232
735971.420866435 -114.049 44.4376666666667 2.14 0 D 200239 0.03 4.2 5.3 2.093
735971.44871956 -114.145166666667 44.6021666666667 0.04 0 D 200240 0.43 3 6.4 0.254
735971.449517361 -114.259 44.571 4.12 0 D 200241 0.09 7.8 10.2 3.875
735971.450539236 -114.045833333333 44.4836666666667 5.04 0 D 200242 0.23 11.5 19.7 4.768
735971.54085787 -114.029 44.4556666666667 4.74 0 D 200243 0.09 9 11.6 4.433
735971.542541435 -113.950833333333 44.4481666666667 0.08 0 D 200244 0.28 3.6 2.5 0.297
735971.560559375 -114.016666666667 44.4518333333333 0.02 0 D 200245 0.38 2.2 2 0.236
735971.584177546 -113.9035 44.4891666666667 0.49 0 D 200246 0.59 6.8 5.1 0.666
735971.592943056 -113.248833333333 44.4956666666667 2.5 0 D 200247 1.94 7.2 33.4 2.413
735971.665757407 -114.087333333333 44.4463333333333 1.96 0 D 200248 0.37 15.5 18 1.919
735971.691166204 -114.0775 44.4528333333333 4.97 0 D 200249 0.12 3.5 4.8 4.662
735971.73334456 -114.091666666667 44.4715 5 0 D 200250 0.27 8.4 22.9 4.71
735971.733365046 -114.096 44.478 6.11 0 D 200251 0.11 6.2 10.2 5.654
735971.757414468 -114.104166666667 44.4395 4.58 0 D 200252 0.12 9.2 10.3 4.311
735971.770352662 -114.110666666667 44.4428333333333 5.11 0 D 200253 0.06 3.5 4.1 4.809
735971.831677315 -111.524666666667 45.3853333333333 0.53 0 C 200254 0.09 2 3.5 0.665
735971.939130093 -111.4785 46.1748333333333 3.37 0 D 200255 0.02 6.9 10.5 3.25
735971.941172917 -114.084833333333 44.4508333333333 0.01 0 C 200256 0.18 2.1 3.1 0.219
735971.941198611 -114.018333333333 44.5478333333333 5.85 0 D 200257 0.92 22.3 47.1 5.487
735971.956680093 -114.143166666667 44.4118333333333 4.27 0 D 200258 0.08 7.5 10.7 4.053
735971.95665625 -114.582 44.337 35.72 0 D 200259 0.63 19.4 31.4 32.315
735972.03116956 -113.8465 44.4225 0.42 0 C 200260 0.49 1.2 4.6 0.589
735972.084852199 -114.069833333333 44.4203333333333 2.92 0 C 200261 0.08 2.2 3.6 2.783
735972.201844213 -114.090833333333 44.4593333333333 4.86 0 D 200262 0.91 31.6 43.6 4.563
735972.369904514 -114.051833333333 44.4863333333333 4.86 0 D 200263 0.16 17.6 5 4.563
735972.63534213 -114.594166666667 44.2911666666667 5 0 D 200264 0.03 1.6 12.7 4.689
735972.676121181 -114.113333333333 44.4235 4.22 0 D 200265 0.52 7.6 9.2 3.988
735972.676141898 -114.188 44.45 15.72 0 C 200266 0.21 2.2 3.7 14.303
735972.73724537 -114.075166666667 44.413 5.84 0 D 200267 0.03 5.5 10.3 5.457
735972.944052778 -114.0445 44.525 5.05 0 D 200268 0.11 13.7 11.4 4.735
735973.072415857 -114.097166666667 44.435 4.64 0 D 200269 0.08 5.8 8.5 4.365
735973.223581019 -114.089333333333 44.45 5.52 0 D 200270 0.23 8.7 8.4 5.158
735973.264921759 -113.952333333333 44.448 0.02 0 C 200271 0.11 1.9 2.8 0.245
735973.267119097 -111.635333333333 43.217 0.01 0 C 200272 0.09 1.8 2.1 0.231
735973.362937037 -111.765666666667 43.1525 2.91 0 D 200273 0.07 11.7 6.8 2.82
735973.562608796 -113.6455 44.3185 5.02 0 D 200274 10.5 49 88.4 4.708
735973.562841088 -113.356166666667 44.8856666666667 8.98 0 D 200275 5.21 40.7 90.2 8.253
735973.576563079 -114.0365 44.4223333333333 0.97 0 D 200276 0.06 4.6 12.4 1.083
735973.625260417 -114.11 44.4461666666667 5.2 0 D 200277 0.12 5.5 15.1 4.89
735973.625279282 -111.794333333333 44.3596666666667 0.78 0 D 200278 0.43 5.7 4.8 0.918
735973.888848032 -114.0975 44.4393333333333 4.97 0 D 200279 0.12 3.5 15.8 4.683
735973.88887338 -114.077333333333 44.4638333333333 13.01 0 D 200280 0.23 2.4 5.5 11.931
735974.062987384 -114.261666666667 44.4478333333333 4.44 0 D 200281 0.3 2.8 6.6 4.228
735974.067266204 -113.928166666667 44.4195 0.53 0 D 200282 0.09 4.8 13.3 0.701
735974.067466088 -112.240666666667 44.5548333333333 17.89 0 D 200283 3.43 11.2 98.8 16.326
735974.105525231 -114.063333333333 44.4658333333333 4.99 0 C 200284 0.35 3.2 13.8 4.701
735974.105531829 -114.17 44.4521666666667 12.29 0 D 200285 0.04 2.2 5.6 11.216
735974.365171296 -111.112833333333 43.6538333333333 5.96 0 D 200286 0.15 8 15.7 5.519
735974.375094329 -114.053333333333 44.4523333333333 6.61 0 D 200287 0.11 6.7 10 6.115
735974.431975694 -113.979 44.4165 0.18 0 D 200288 0.67 5 8.8 0.394
735974.936572338 -113.8285 44.4706666666667 16.08 0 D 200289 1.03 11.8 85 14.691
735974.936526389 -114.461333333333 44.4766666666667 38.3 0 D 200290 0.37 3.2 33.4 34.615
735974.939902894 -114.206 44.4643333333333 16.92 0 C 200291 0.21 1.9 2.1 15.388
735974.942404745 -114.048 44.4561666666667 0.13 0 D 200292 0.45 2.6 3.8 0.314
