otime,lon,lat,depth,mag,magtype,quality,hypo_evt_no,rmse,Herr,Verr,depth_FSL
736952.523506134,-111.452,42.5448333333333,5,0,,C,201032,0.24,0.6,23.9,4.711
736952.52715787,-111.476666666667,42.5408333333333,5,0,,C,201033,0.05,0.5,13.1,4.707
736952.528246296,-111.182666666667,42.7613333333333,5,0,,D,201034,4.62,22.3,99,4.707
736952.53679537,-111.4705,42.467,5,0,,D,201035,0.21,1.4,21.6,4.707
736952.54032338,-111.434333333333,42.4963333333333,5,0,,C,201036,0.23,0.9,23,4.707
736952.543192361,-111.419166666667,42.52,5,0,,D,201037,0.25,1.2,24.7,4.712
736952.544209606,-111.7925,43.22,5,0,,D,201038,4.25,22.6,99,4.705
736952.547403472,-111.464333333333,42.4723333333333,5,0,,C,201039,0.19,0.9,19.9,4.706
736952.553831019,-111.349833333333,42.6236666666667,5,0,,D,201040,0.13,1.2,16.5,4.712
736952.569758333,-111.441,42.4841666666667,5,0,,D,201041,0.21,1.3,21.7,4.711
736952.570421991,-111.434166666667,42.51,5,0,,C,201042,0.19,1,20,4.711
736952.570696412,-111.434166666667,42.5106666666667,5,0,,C,201043,0.25,1.1,24.3,4.711
736952.594245718,-111.403166666667,42.6185,5,0,,C,201044,0.43,0.9,38.2,4.711
736952.596872454,-111.5085,42.5055,5,0,,D,201045,0.27,1.2,25.4,4.703
736952.626859838,-111.420166666667,42.5333333333333,5,0,,C,201046,0.11,0.6,15.4,4.707
736952.640956481,-111.433333333333,42.5128333333333,5,0,,C,201047,0.25,0.9,24.4,4.707
736952.641189468,-111.418333333333,42.5186666666667,5,0,,C,201048,0.14,0.7,17.1,4.711
736952.649898264,-111.446333333333,42.537,5,0,,C,201049,0.12,1,16.1,4.711
736952.685430324,-111.453,42.5136666666667,5,0,,C,201050,0.4,1.1,35.7,4.707
736952.688006019,-111.428666666667,42.5756666666667,5,0,,C,201051,0.2,0.7,21,4.711
736952.6941,-111.443666666667,42.5201666666667,5,0,,C,201052,0.33,1.1,30.4,4.707
736952.726853819,-111.505,42.5505,5,0,,C,201053,0.49,1,43,4.703
736952.728091204,-111.518666666667,42.55,5,0,,C,201054,0.42,1,37.4,4.703
736952.739405324,-111.373333333333,42.6051666666667,5,0,,C,201055,0.28,1.3,26.5,4.712
736952.745331713,-111.4285,42.5726666666667,5,0,,C,201056,0.11,0.6,15.6,4.709
736952.756383565,-111.4355,42.7003333333333,5,0,,D,201057,0.13,1.8,16.8,4.702
736952.761228241,-111.428,42.5808333333333,5,0,,C,201058,0.17,0.6,18.7,4.711
736952.770492245,-111.436166666667,42.5455,5,0,,C,201059,0.34,0.9,31,4.711
736952.774631944,-111.435,42.5103333333333,5,0,,C,201060,0.18,0.7,19.3,4.707
736952.776627199,-111.554666666667,42.4918333333333,5,0,,D,201061,0.12,1.6,15.9,4.707
736952.778562963,-111.421,42.5125,5,0,,C,201062,0.16,0.8,18.5,4.707
736952.780198495,-111.530833333333,42.5371666666667,5,0,,D,201063,0.52,1.7,45.3,4.703
736952.781039468,-111.472666666667,42.5673333333333,5,0,,C,201064,0.34,0.7,30.7,4.703
736952.78290162,-111.438333333333,42.5003333333333,5,0,,C,201065,0.15,0.6,17.7,4.707
736952.784995255,-111.430833333333,42.5063333333333,5,0,,C,201066,0.17,0.5,18.7,4.707
736952.820608912,-111.105166666667,43.0886666666667,5,0,,D,201067,3.97,11.5,99,4.713
736952.826139005,-111.4555,42.5648333333333,5,0,,C,201068,0.32,0.7,29.6,4.71
736952.826954514,-111.502166666667,42.546,5,0,,C,201069,0.56,1.3,48.4,4.703
736952.83054919,-111.415333333333,42.5116666666667,5,0,,C,201070,0.23,1.1,23.1,4.707
736952.833652778,-111.432333333333,42.5311666666667,5,0,,C,201071,0.28,0.9,26.6,4.711
736952.835239236,-111.440333333333,42.531,5,0,,C,201072,0.25,0.8,24.3,4.711
736952.842934722,-111.423833333333,42.5373333333333,5,0,,C,201073,0.27,1.5,25.4,4.711
736952.847805903,-111.3655,42.611,5,0,,C,201074,0.43,1.6,38.1,4.711
736952.870728009,-111.417333333333,42.5915,5,0,,C,201075,0.2,0.7,20.6,4.711
736952.874760995,-111.644166666667,42.394,5,0,,D,201076,2.98,7.8,99,4.703
736952.899671991,-111.411166666667,42.5983333333333,5,0,,C,201077,0.23,0.7,22.8,4.711
736952.909178704,-111.442,42.5715,5,0,,C,201078,0.06,0.6,13.6,4.706
736952.916685069,-111.417833333333,42.6266666666667,5,0,,D,201079,0.1,0.6,14.8,4.712
736952.941380093,-111.442166666667,42.5731666666667,5,0,,C,201080,0.13,0.6,16.5,4.703
736952.949820023,-111.41,42.5943333333333,5,0,,C,201081,0.26,0.8,25,4.707
736952.950120486,-111.449333333333,42.546,5,0,,C,201082,0.36,1,32.7,4.711
736952.971777662,-111.446166666667,42.5253333333333,5,0,,C,201083,0.26,0.7,25,4.707
