otime lon lat depth mag quality hypo_evt_no rmse Herr Verr depth_FSL
735968.460465741 -114.136833333333 44.485 5 0 D 200147 0.1 3.4 15.1 4.732
735968.492897454 -113.961666666667 44.4468333333333 5.52 0 D 200148 0.28 2.6 1.7 5.2
735968.502337616 -114.100666666667 44.3673333333333 5 0 D 200149 0.04 3 12.9 4.722
735968.502340625 -114.0855 44.48 0.05 0 C 200150 0.06 1.9 3.6 0.277
735968.556910301 -114.005666666667 44.4625 5 0 D 200151 0.11 1.9 15.6 4.718
735968.556888079 -114.1555 44.4396666666667 4.24 0 C 200152 0.18 2 2.9 4.017
735968.579669907 -114.170666666667 44.5713333333333 11.85 0 D 200153 0.03 6.8 6.9 10.821
735968.651074074 -114.0025 44.4203333333333 5 0 D 200154 0.06 2.3 13.4 4.718
735968.691377083 -113.989 44.4113333333333 5 0 D 200155 0.09 1.7 14.4 4.722
735968.720221528 -114.106833333333 44.4115 5 0 D 200156 0.33 2.3 30.4 4.667
735968.734541551 -113.0905 43.4298333333333 5 0 D 200157 5.56 24.8 99 4.662
735968.739208102 -111.956 44.1335 5 0 D 200158 2.02 16.7 99 4.732
735968.743801736 -114.0755 44.4136666666667 5 0 D 200159 0.14 1.6 17 4.696
735968.773833565 -114.103833333333 44.3831666666667 5 0 D 200160 0.21 2.9 21.7 4.735
735968.773868634 -114.060333333333 44.4036666666667 26.62 0 D 200161 0.18 3.6 3.1 24.125
735968.831573264 -114.018 44.4458333333333 5 0 D 200162 0.1 1.4 15.2 4.732
735968.856446643 -113.968666666667 44.4323333333333 5 0 D 200163 0.13 2.3 16.3 4.727
735968.856405324 -114.316166666667 44.5085 3.72 0 D 200164 0.17 3.7 16.3 3.501
735968.867870718 -114.044166666667 44.3808333333333 6.1 0 C 200165 0.28 1.9 1.9 5.686
735968.868502546 -114.086 44.4561666666667 0.1 0 D 200166 0.08 2.6 4 0.291
735968.883914815 -114.721 44.5641666666667 5.01 0 D 200167 0.52 21.9 44.8 4.661
735968.889003704 -113.983 44.4625 5 0 D 200168 0.37 3.1 33.1 4.727
735968.959150463 -114.028166666667 44.4168333333333 5 0 D 200169 0.07 2 13.7 4.752
735969.022378125 -113.938 44.4073333333333 5 0 D 200170 0.05 1.9 13.3 4.725
735969.032475231 -114.109 44.4531666666667 5 0 D 200171 0.04 1.9 13 4.752
735969.067544213 -114.0575 44.3821666666667 5 0 D 200172 0.25 2 24.1 4.722
735969.067549884 -113.9945 44.4111666666667 2.08 0 C 200173 0.14 2 2.1 2.025
735969.091237616 -114.077833333333 44.428 0.83 0 D 200174 0.31 2.8 2.3 0.943
735969.092147569 -114.021 44.4225 5 0 D 200175 0.04 2.5 13 4.722
735969.092135301 -114.134 44.4645 9.11 0 C 200176 0.22 1.8 2 8.421
735969.137071181 -114.049 44.3988333333333 5 0 D 200177 0.19 5 20 4.722
735969.13704294 -114.288166666667 44.466 5 0 D 200178 0.13 4.1 16.4 4.732
735969.168101157 -114.054666666667 44.4523333333333 3.28 0 D 200179 0.32 2.3 4 3.184
735969.174814699 -114.059166666667 44.3893333333333 5 0 D 200180 0.49 3.5 42.7 4.667
735969.227952315 -114.089666666667 44.4185 5 0 D 200181 0.03 1.8 12.7 4.718
735969.273275694 -114.031666666667 44.3935 5 0 D 200182 0.21 1.6 21.8 4.724
735969.301825232 -114.040333333333 44.476 5 0 D 200183 0.07 1.8 13.7 4.735
735969.308197685 -114.106666666667 44.4575 5 0 D 200184 0.2 2.3 20.7 4.752
735969.415951736 -114.033 44.4288333333333 5 0 D 200185 0.1 1.9 15 4.718
735969.551821181 -113.962333333333 44.468 5 0 D 200186 0.35 4 31.4 4.734
735969.641349653 -114.0325 44.4133333333333 5 0 D 200187 0.01 1.6 12.5 4.735
735969.651302546 -113.783 44.4426666666667 5.39 0 D 200188 0.18 1.8 19.4 5.047
735969.658584838 -114.050666666667 44.3906666666667 5 0 D 200189 0.1 1.4 15.1 4.735
735969.711385301 -114.098 44.4611666666667 5 0 D 200190 0.09 3.6 14.6 4.71
735969.711503935 -113.2855 44.4853333333333 5 0 D 200191 2.69 7.2 99 4.702
735969.72003669 -114.074166666667 44.3675 5 0 D 200192 0.07 2.8 13.7 4.735
735969.834996181 -112.963 44.3696666666667 5 0 D 200193 1.77 37.8 99 4.667
735969.898977199 -113.891333333333 44.4158333333333 5 0 D 200194 0.2 2.9 21.2 4.727
735969.90069919 -114.076 44.4441666666667 5 0 D 200195 0.24 2.3 23.5 4.71
